pos	mean_rec	L95	U95	contig
105	0.10437	0.00087	0.84821	cp26
156	0.06737	0.00073	0.16498	cp26
253	0.06708	0.00073	0.16496	cp26
272	0.06708	0.00073	0.16496	cp26
387	0.06708	0.00073	0.16496	cp26
399	0.06764	0.00073	0.16513	cp26
411	0.06730	0.00073	0.16513	cp26
448	0.06752	0.00073	0.16523	cp26
543	0.06841	0.00073	0.16607	cp26
611	0.06492	0.00071	0.16313	cp26
629	0.05600	0.00036	0.15613	cp26
737	0.02491	0.00016	0.12643	cp26
753	0.00897	0.00012	0.08526	cp26
824	0.00634	0.00012	0.02553	cp26
855	0.00547	0.00012	0.02109	cp26
888	0.00533	0.00012	0.02049	cp26
939	0.00520	0.00012	0.02018	cp26
972	0.00520	0.00012	0.02018	cp26
1047	0.00520	0.00012	0.02018	cp26
1138	0.00520	0.00012	0.02018	cp26
1227	0.00520	0.00012	0.02018	cp26
1260	0.00520	0.00012	0.02018	cp26
1275	0.00520	0.00012	0.02018	cp26
1317	0.00520	0.00012	0.02018	cp26
1328	0.00520	0.00012	0.02018	cp26
1383	0.00520	0.00012	0.02018	cp26
1393	0.03070	0.00012	0.31333	cp26
1452	0.30899	0.01427	0.35262	cp26
1641	0.31759	0.28267	0.35378	cp26
1655	0.31776	0.28280	0.35378	cp26
1778	0.31776	0.28280	0.35378	cp26
1808	0.31776	0.28280	0.35378	cp26
1809	0.31776	0.28280	0.35378	cp26
1815	0.31776	0.28280	0.35378	cp26
1839	0.31776	0.28280	0.35378	cp26
1894	0.31776	0.28280	0.35378	cp26
1953	0.31776	0.28280	0.35378	cp26
2049	0.31776	0.28280	0.35378	cp26
2183	0.31776	0.28280	0.35378	cp26
2398	0.31776	0.28280	0.35378	cp26
2460	0.31776	0.28280	0.35378	cp26
2482	0.31776	0.28280	0.35378	cp26
2685	0.31769	0.28267	0.35295	cp26
2806	0.31769	0.28267	0.35295	cp26
2992	0.31769	0.28267	0.35295	cp26
3085	0.31769	0.28267	0.35295	cp26
3130	0.31769	0.28267	0.35295	cp26
3142	0.31766	0.28262	0.35295	cp26
3169	0.31734	0.28229	0.35258	cp26
3190	0.31734	0.28229	0.35258	cp26
